2008-01-01 06:01:14.638671|INFO    |ServerLibPriv |   | TeamSpeak 3 Server 3.0.10.3 (2014-01-01 16:28:39)
2008-01-01 06:01:14.654296|INFO    |ServerLibPriv |   | SystemInformation: Windows 7 SP1 (7601) x64 (AMD or Intel) Binary: 32bit
2008-01-01 06:01:14.669921|INFO    |DatabaseQuery |   | dbPlugin name:    SQLite3 plugin, Version 2, (c)TeamSpeak Systems GmbH
2008-01-01 06:01:14.669921|INFO    |DatabaseQuery |   | dbPlugin version: 3.7.3
2008-01-01 06:01:14.669921|INFO    |DatabaseQuery |   | checking database integrity (may take a while)
2008-01-01 06:01:14.873046|WARNING |Accounting    |   | Unable to find valid license key, falling back to limited functionality
2008-01-01 06:01:18.498046|INFO    |              |   | Puzzle precompute time: 3610
2008-01-01 06:01:18.498046|INFO    |FileManager   |   | listening on 0.0.0.0:30033
2008-01-01 06:01:18.498046|INFO    |VirtualSvrMgr |   | executing monthly interval
2008-01-01 06:01:18.529296|INFO    |VirtualSvrMgr |   | reset virtualserver traffic statistics
2008-01-01 06:01:18.841796|INFO    |CIDRManager   |   | updated query_ip_whitelist ips: 127.0.0.1, 
2008-01-01 06:01:18.841796|INFO    |Query         |   | listening on 0.0.0.0:10011
2008-01-02 03:12:08.499023|INFO    |Query         |   | query from 509 70.168.122.19:23682 issued: login with account "serveradmin"(serveradmin)
2016-12-23 02:47:35.850390|INFO    |VirtualSvrMgr |   | executing monthly interval
2016-12-23 02:47:35.939257|INFO    |VirtualSvrMgr |   | reset virtualserver traffic statistics
2016-12-23 09:55:11.283007|ERROR   |              |   | TS3ANetwork::Send failed error: 10022
2016-12-23 09:55:11.283007|ERROR   |              |   | TS3ANetwork::Send failed error: 10022
2016-12-23 14:00:52.970507|INFO    |Query         |   | query from 963 70.168.122.19:31163 issued: login with account "serveradmin"(serveradmin)
2016-12-27 21:30:25.699117|INFO    |Query         |   | query from 3446 70.168.122.19:64861 issued: login with account "serveradmin"(serveradmin)
2016-12-27 21:32:49.636617|INFO    |Query         |   | query from 3448 70.168.122.19:64886 issued: login with account "serveradmin"(serveradmin)
