2015-03-26 14:49:14.522253|INFO    |VirtualServer |  1| listening on 0.0.0.0:9987
2015-03-26 14:50:26.167503|INFO    |VirtualServer |  1| query client connected 'serveradmin from 127.0.0.1:65298'(id:1)
2015-03-26 14:55:09.538020|INFO    |VirtualServerBase|  1| query client disconnected 'serveradmin from 127.0.0.1:65298'(id:1) reason 'reasonmsg=disconnecting'
2015-03-26 21:18:54.723298|INFO    |VirtualServerBase|  1| channel 'Chicks with Dicks'(id:84) created by 'Malluo'(id:289)
2015-03-26 21:19:19.107038|INFO    |VirtualServerBase|  1| channel 'Chicks with Dicks'(id:84) deleted by 'server'(id:0)
2015-03-26 21:19:32.172848|INFO    |VirtualServerBase|  1| channel 'Chicks with Dicks'(id:86) created by 'Malluo'(id:289)
2015-03-27 00:55:54.708566|INFO    |VirtualServerBase|  1| channel 'Arma3'(id:87) created by 'Rudy'(id:100)
2015-03-27 00:56:14.967630|INFO    |VirtualServerBase|  1| channel 'Arma3'(id:87) edited by 'Rudy'(id:100)
2015-03-27 01:51:07.580792|INFO    |VirtualServer |  1| query client connected 'Unknown from 95.141.32.34:37391'(id:354)
2015-03-27 01:51:08.288795|INFO    |VirtualServerBase|  1| query client disconnected 'Game-State.eu'(id:354) reason 'reasonmsg=connection lost'
2015-03-27 02:21:34.239851|INFO    |VirtualServerBase|  1| channel 'Chicks with Dicks'(id:86) deleted by 'server'(id:0)
2015-03-27 03:07:00.622435|INFO    |VirtualServerBase|  1| channel 'Arma3'(id:87) edited by 'Rudy'(id:100)
2015-03-27 05:55:17.642361|INFO    |VirtualServerBase|  1| channel 'Arma3'(id:87) deleted by 'server'(id:0)
2015-03-27 17:20:19.663562|INFO    |VirtualServerBase|  1| channel 'Chicks with dicks'(id:88) created by 'Malluo'(id:289)
2015-03-28 02:26:10.855053|INFO    |VirtualServerBase|  1| channel 'arma 3'(id:89) created by 'Android ross'(id:355)
2015-03-28 02:27:06.515950|INFO    |VirtualServerBase|  1| channel 'arma 3'(id:89) deleted by 'server'(id:0)
2015-03-28 03:28:07.358733|INFO    |VirtualServerBase|  1| channel 'Chicks with dicks'(id:88) deleted by 'server'(id:0)
2015-03-28 04:39:03.326953|INFO    |VirtualServerBase|  1| channel 'Arma 3'(id:90) created by 'ross'(id:253)
2015-03-28 04:41:27.767605|INFO    |VirtualServer |  1| query client connected 'serveradmin from 107.129.31.5:49316'(id:1)
2015-03-28 07:33:29.962403|INFO    |VirtualServerBase|  1| query client disconnected 'serveradmin from 107.129.31.5:49316'(id:1) reason 'reasonmsg=disconnecting'
2015-03-28 13:54:19.775444|INFO    |VirtualServerBase|  1| channel 'Spics With Clits'(id:91) created by 'RobHD'(id:298)
2015-03-28 23:16:44.287880|INFO    |VirtualServerBase|  1| channel 'Spics With Clits'(id:91) deleted by 'server'(id:0)
2015-03-29 03:25:46.009532|INFO    |VirtualServer |  1| query client connected 'serveradmin from 107.129.31.5:49180'(id:1)
2015-03-29 07:35:10.677372|INFO    |VirtualServerBase|  1| query client disconnected 'serveradmin from 107.129.31.5:49180'(id:1) reason 'reasonmsg=connection lost'
2015-03-29 15:01:02.228016|INFO    |VirtualServerBase|  1| channel 'Kicks With Shits'(id:92) created by 'RobHD'(id:298)
2015-03-29 16:38:56.309058|INFO    |VirtualServerBase|  1| channel 'Kicks With Shits'(id:92) deleted by 'server'(id:0)
2015-03-29 19:20:00.135907|INFO    |VirtualServerBase|  1| channel 'Nigs With Keks'(id:93) created by 'RobHD'(id:298)
2015-03-29 21:28:58.732200|INFO    |VirtualServerBase|  1| channel 'Fergalicious'(id:94) created by 'Malluo'(id:289)
2015-03-30 00:31:53.788136|INFO    |VirtualServerBase|  1| channel 'Nigs With Keks'(id:93) deleted by 'server'(id:0)
2015-03-30 00:42:31.860449|INFO    |VirtualServerBase|  1| channel 'Tawd Is Kill'(id:95) created by 'RobHD'(id:298)
2015-03-30 01:26:19.607031|INFO    |VirtualServerBase|  1| channel 'Tawd Is Kill'(id:95) deleted by 'server'(id:0)
2015-03-30 04:13:57.615368|INFO    |VirtualServerBase|  1| channel 'Fergalicious'(id:94) deleted by 'server'(id:0)
2015-03-30 04:21:05.477314|INFO    |VirtualServerBase|  1| channel 'Rob is Life'(id:96) created as sub channel of 'DayZ'(id:4) by 'Vereor Nox'(id:4)
2015-03-30 04:21:10.906123|INFO    |VirtualServerBase|  1| channel 'Rob is Life'(id:96) deleted by 'server'(id:0)
2015-03-30 06:16:36.974999|INFO    |VirtualServer |  1| client 'Dark'(id:276) was added to channelgroup 'Channel Admin'(id:5) by client 'Dark'(id:276) in channel 'Quarter for the Wicked'(id:29)
2015-03-30 20:00:25.737679|INFO    |VirtualServerBase|  1| channel 'Chicks with dicks'(id:97) created by 'Malluo'(id:289)
2015-03-30 20:01:14.441875|INFO    |VirtualServerBase|  1| channel 'Chicks with dicks'(id:97) deleted by 'server'(id:0)
2015-03-30 20:01:26.538902|INFO    |VirtualServerBase|  1| channel 'Chicks with dicks'(id:98) created by 'Malluo'(id:289)
2015-03-30 21:19:50.889195|INFO    |VirtualServerBase|  1| channel 'Chicks with dicks'(id:98) deleted by 'server'(id:0)
2015-03-30 22:51:52.796262|INFO    |VirtualServerBase|  1| channel 'CSGO COPT ACE'(id:99) created by 'ACE'(id:358)
2015-03-30 22:53:12.340801|INFO    |VirtualServerBase|  1| channel 'CSGO COPT ACE'(id:99) deleted by 'server'(id:0)
2015-03-30 22:53:26.256025|INFO    |VirtualServerBase|  1| channel 'csgo cpt ace'(id:100) created by 'ACE'(id:358)
2015-03-31 01:07:46.415679|INFO    |VirtualServerBase|  1| channel 'csgo cpt ace'(id:100) deleted by 'server'(id:0)
2015-03-31 05:58:16.060869|INFO    |VirtualServer |  1| client (id:349) was added to servergroup 'Normal'(id:7) by client 'Ritsu'(id:349)
2015-03-31 06:35:57.472012|INFO    |VirtualServer |  1| client 'Dark'(id:276) was added to channelgroup 'Guest'(id:8) by client 'Vereor Nox'(id:4) in channel 'Quarter for the Wicked'(id:29)
