2018-03-27 20:56:42 startup archives unpack
2018-03-27 20:56:42 install libssl1.0.0:amd64 <none> 1.0.1t-1+deb8u7
2018-03-27 20:56:42 status half-installed libssl1.0.0:amd64 1.0.1t-1+deb8u7
2018-03-27 20:56:43 status unpacked libssl1.0.0:amd64 1.0.1t-1+deb8u7
2018-03-27 20:56:43 status unpacked libssl1.0.0:amd64 1.0.1t-1+deb8u7
2018-03-27 20:56:43 install libgmp10:amd64 <none> 2:6.0.0+dfsg-6
2018-03-27 20:56:43 status half-installed libgmp10:amd64 2:6.0.0+dfsg-6
2018-03-27 20:56:43 status unpacked libgmp10:amd64 2:6.0.0+dfsg-6
2018-03-27 20:56:43 status unpacked libgmp10:amd64 2:6.0.0+dfsg-6
2018-03-27 20:56:43 install libnettle4:amd64 <none> 2.7.1-5+deb8u2
2018-03-27 20:56:43 status half-installed libnettle4:amd64 2.7.1-5+deb8u2
2018-03-27 20:56:43 status unpacked libnettle4:amd64 2.7.1-5+deb8u2
2018-03-27 20:56:43 status unpacked libnettle4:amd64 2.7.1-5+deb8u2
2018-03-27 20:56:43 install libhogweed2:amd64 <none> 2.7.1-5+deb8u2
2018-03-27 20:56:43 status half-installed libhogweed2:amd64 2.7.1-5+deb8u2
2018-03-27 20:56:43 status unpacked libhogweed2:amd64 2.7.1-5+deb8u2
2018-03-27 20:56:43 status unpacked libhogweed2:amd64 2.7.1-5+deb8u2
2018-03-27 20:56:43 install libffi6:amd64 <none> 3.1-2+deb8u1
2018-03-27 20:56:43 status half-installed libffi6:amd64 3.1-2+deb8u1
2018-03-27 20:56:44 status unpacked libffi6:amd64 3.1-2+deb8u1
2018-03-27 20:56:44 status unpacked libffi6:amd64 3.1-2+deb8u1
2018-03-27 20:56:44 install libp11-kit0:amd64 <none> 0.20.7-1
2018-03-27 20:56:44 status half-installed libp11-kit0:amd64 0.20.7-1
2018-03-27 20:56:44 status unpacked libp11-kit0:amd64 0.20.7-1
2018-03-27 20:56:44 status unpacked libp11-kit0:amd64 0.20.7-1
2018-03-27 20:56:44 install libtasn1-6:amd64 <none> 4.2-3+deb8u3
2018-03-27 20:56:44 status half-installed libtasn1-6:amd64 4.2-3+deb8u3
2018-03-27 20:56:44 status unpacked libtasn1-6:amd64 4.2-3+deb8u3
2018-03-27 20:56:44 status unpacked libtasn1-6:amd64 4.2-3+deb8u3
2018-03-27 20:56:44 install libgnutls-deb0-28:amd64 <none> 3.3.8-6+deb8u7
2018-03-27 20:56:44 status half-installed libgnutls-deb0-28:amd64 3.3.8-6+deb8u7
2018-03-27 20:56:44 status unpacked libgnutls-deb0-28:amd64 3.3.8-6+deb8u7
2018-03-27 20:56:44 status unpacked libgnutls-deb0-28:amd64 3.3.8-6+deb8u7
2018-03-27 20:56:44 install libidn11:amd64 <none> 1.29-1+deb8u2
2018-03-27 20:56:44 status half-installed libidn11:amd64 1.29-1+deb8u2
2018-03-27 20:56:45 status unpacked libidn11:amd64 1.29-1+deb8u2
2018-03-27 20:56:45 status unpacked libidn11:amd64 1.29-1+deb8u2
2018-03-27 20:56:45 install libicu52:amd64 <none> 52.1-8+deb8u7
2018-03-27 20:56:45 status half-installed libicu52:amd64 52.1-8+deb8u7
2018-03-27 20:56:48 status unpacked libicu52:amd64 52.1-8+deb8u7
2018-03-27 20:56:48 status unpacked libicu52:amd64 52.1-8+deb8u7
2018-03-27 20:56:48 install libpsl0:amd64 <none> 0.5.1-1
2018-03-27 20:56:48 status half-installed libpsl0:amd64 0.5.1-1
2018-03-27 20:56:48 status unpacked libpsl0:amd64 0.5.1-1
2018-03-27 20:56:48 status unpacked libpsl0:amd64 0.5.1-1
2018-03-27 20:56:48 install wget:amd64 <none> 1.16-1+deb8u4
2018-03-27 20:56:48 status half-installed wget:amd64 1.16-1+deb8u4
2018-03-27 20:56:48 status unpacked wget:amd64 1.16-1+deb8u4
2018-03-27 20:56:48 status unpacked wget:amd64 1.16-1+deb8u4
2018-03-27 20:56:48 install bzip2:amd64 <none> 1.0.6-7+b3
2018-03-27 20:56:48 status half-installed bzip2:amd64 1.0.6-7+b3
2018-03-27 20:56:49 status unpacked bzip2:amd64 1.0.6-7+b3
2018-03-27 20:56:49 status unpacked bzip2:amd64 1.0.6-7+b3
2018-03-27 20:56:49 install openssl:amd64 <none> 1.0.1t-1+deb8u7
2018-03-27 20:56:49 status half-installed openssl:amd64 1.0.1t-1+deb8u7
2018-03-27 20:56:49 status unpacked openssl:amd64 1.0.1t-1+deb8u7
2018-03-27 20:56:49 status unpacked openssl:amd64 1.0.1t-1+deb8u7
2018-03-27 20:56:49 install ca-certificates:all <none> 20141019+deb8u3
2018-03-27 20:56:49 status half-installed ca-certificates:all 20141019+deb8u3
2018-03-27 20:56:49 status unpacked ca-certificates:all 20141019+deb8u3
2018-03-27 20:56:49 status unpacked ca-certificates:all 20141019+deb8u3
2018-03-27 20:56:51 startup packages configure
2018-03-27 20:56:51 configure libssl1.0.0:amd64 1.0.1t-1+deb8u7 <none>
2018-03-27 20:56:51 status unpacked libssl1.0.0:amd64 1.0.1t-1+deb8u7
2018-03-27 20:56:51 status half-configured libssl1.0.0:amd64 1.0.1t-1+deb8u7
2018-03-27 20:56:52 status installed libssl1.0.0:amd64 1.0.1t-1+deb8u7
2018-03-27 20:56:52 status triggers-pending libc-bin:amd64 2.19-18+deb8u10
2018-03-27 20:56:52 configure libgmp10:amd64 2:6.0.0+dfsg-6 <none>
2018-03-27 20:56:52 status unpacked libgmp10:amd64 2:6.0.0+dfsg-6
2018-03-27 20:56:52 status half-configured libgmp10:amd64 2:6.0.0+dfsg-6
2018-03-27 20:56:52 status installed libgmp10:amd64 2:6.0.0+dfsg-6
2018-03-27 20:56:52 configure libnettle4:amd64 2.7.1-5+deb8u2 <none>
2018-03-27 20:56:52 status unpacked libnettle4:amd64 2.7.1-5+deb8u2
2018-03-27 20:56:52 status half-configured libnettle4:amd64 2.7.1-5+deb8u2
2018-03-27 20:56:52 status installed libnettle4:amd64 2.7.1-5+deb8u2
2018-03-27 20:56:52 configure libhogweed2:amd64 2.7.1-5+deb8u2 <none>
2018-03-27 20:56:52 status unpacked libhogweed2:amd64 2.7.1-5+deb8u2
2018-03-27 20:56:52 status half-configured libhogweed2:amd64 2.7.1-5+deb8u2
2018-03-27 20:56:52 status installed libhogweed2:amd64 2.7.1-5+deb8u2
2018-03-27 20:56:52 configure libffi6:amd64 3.1-2+deb8u1 <none>
2018-03-27 20:56:52 status unpacked libffi6:amd64 3.1-2+deb8u1
2018-03-27 20:56:52 status half-configured libffi6:amd64 3.1-2+deb8u1
2018-03-27 20:56:52 status installed libffi6:amd64 3.1-2+deb8u1
2018-03-27 20:56:52 configure libp11-kit0:amd64 0.20.7-1 <none>
2018-03-27 20:56:52 status unpacked libp11-kit0:amd64 0.20.7-1
2018-03-27 20:56:52 status half-configured libp11-kit0:amd64 0.20.7-1
2018-03-27 20:56:52 status installed libp11-kit0:amd64 0.20.7-1
2018-03-27 20:56:52 configure libtasn1-6:amd64 4.2-3+deb8u3 <none>
2018-03-27 20:56:52 status unpacked libtasn1-6:amd64 4.2-3+deb8u3
2018-03-27 20:56:52 status half-configured libtasn1-6:amd64 4.2-3+deb8u3
2018-03-27 20:56:52 status installed libtasn1-6:amd64 4.2-3+deb8u3
2018-03-27 20:56:52 configure libgnutls-deb0-28:amd64 3.3.8-6+deb8u7 <none>
2018-03-27 20:56:52 status unpacked libgnutls-deb0-28:amd64 3.3.8-6+deb8u7
2018-03-27 20:56:52 status half-configured libgnutls-deb0-28:amd64 3.3.8-6+deb8u7
2018-03-27 20:56:52 status installed libgnutls-deb0-28:amd64 3.3.8-6+deb8u7
2018-03-27 20:56:52 configure libidn11:amd64 1.29-1+deb8u2 <none>
2018-03-27 20:56:52 status unpacked libidn11:amd64 1.29-1+deb8u2
2018-03-27 20:56:52 status half-configured libidn11:amd64 1.29-1+deb8u2
2018-03-27 20:56:52 status installed libidn11:amd64 1.29-1+deb8u2
